"FullName","Length","LastWriteTime","SHA256"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CF-P01-baseline.csv","104513","7/22/2026 10:45:01 AM","762EA39205CEC8CD820C2CDEC9CACE444BEE2B3A44C389AD9A5AE14A8FB630C1"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CF-P01-k6.csv","1444984","7/21/2026 10:51:54 PM","3EA1660F5046A93023CC0C760BACAF4C869D3D471A2DEF48EE36F8747FD9A708"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CF-P01-k6-rerun.csv","16402273","7/22/2026 12:11:29 AM","59D9C736202DB140B61524D2519173023C68F2949A761E3F8B3525D8ADA80A13"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CF-P01-rate2.csv","176109","7/22/2026 10:53:08 AM","B5D3A660A484F66E031CB9AC5D7F97BB801549325527BA52255C332541515EBA"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-01_k6_summary.json","3252","7/22/2026 4:26:45 PM","23820183DC7B7D5F3B9CC7BC16CCFC7C9A77BF081E3BC01977C366B991D1B9F2"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-01_metrics.csv","7653","7/22/2026 4:26:32 PM","289F80B884F076743150275F6ED9159236D6E6C95E5084E8F60F863ED43ADF8B"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-02_k6_summary.json","3224","7/22/2026 4:59:20 PM","8BEEF88601B8182C1B54BA4548AE8D4359539A507D4A8D52C2D0357D7E2FB16F"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-02_metrics.csv","7100","7/22/2026 4:58:55 PM","EF2FFB26A821ABF81436BE4EA59124297D82CA20B20419D12E7ABBD934307596"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-03_k6_summary.json","3252","7/22/2026 5:37:19 PM","E676FBFFBFA25910E42965C2BC14C8BAB26014A5B966B081682E634E25D6F915"
"C:\Users\DELL\Documents\MIT8212 SEMINAR\predictive-k8s-failure\data\raw\CPU-03_metrics.csv","9906","7/22/2026 5:36:48 PM","2C7A86046DA77B53316B171AF54A17E5EDF630894E8F2FFD91C1CBBA5B8F0B28"
