"Dataset","Rows","RecordedLabel","FinalUse"
"CPU-01_metrics.csv","51","cpu_stress","Training and evaluation"
"CPU-02_metrics.csv","47","cpu_stress","Training and evaluation"
"CPU-03_metrics.csv","66","cpu_stress","Training and evaluation"
"CRASH-01_metrics.csv","78","crash_loop","Training and evaluation"
"CRASH-02_metrics.csv","170","crash_loop","Training and evaluation"
"HB-01_metrics.csv","52","healthy","Training and evaluation"
"HB-02_metrics.csv","51","healthy","Training and evaluation"
"MEM-01_metrics.csv","80","memory_pressure","Training and evaluation"
"MEM-02_metrics.csv","83","memory_pressure","Training and evaluation"
"NODE-01_metrics.csv","38","node_disruption","Training and evaluation"
"NODE-02_metrics.csv","109","node_failure","Relabel as healthy during consolidation"
"test_metrics.csv","4","healthy","Independent prediction test only"
