rank,feature,importance
1,memory_mib,0.10982980188047334
2,memory_mib_roll_30m_max,0.10366990878042716
3,memory_mib_roll_15m_min,0.09095315072443606
4,memory_mib_roll_30m_mean,0.07828470380194519
5,memory_mib_roll_30m_std,0.07236518705060671
6,memory_mib_roll_30m_delta,0.07113836281365693
7,memory_mib_roll_5m_mean,0.07012637362637364
8,memory_mib_roll_15m_max,0.06808494447407995
9,memory_mib_roll_15m_mean,0.06716479200136778
10,memory_mib_roll_5m_min,0.06623652120595805
11,memory_mib_roll_30m_range,0.06422905431257495
12,memory_mib_roll_5m_max,0.05896875417459189
13,memory_mib_roll_15m_range,0.015274792760468083
14,memory_mib_roll_15m_delta,0.015111711778634223
15,memory_mib_roll_15m_std,0.011052256425577193
16,memory_mib_roll_5m_delta,0.006635730956217929
17,memory_mib_roll_5m_range,0.006591776037999187
18,memory_growth_rate_mib_per_min,0.006460117262597477
19,memory_change_1m,0.006426302437309099
20,memory_mib_roll_5m_std,0.0031660158630301897
21,cpu_millicores_roll_30m_max,0.002510324912877781
22,cpu_millicores_roll_30m_mean,0.0017179597621942238
23,cpu_millicores_roll_30m_range,0.000979814606254873
24,cpu_millicores_roll_15m_max,0.000836637047163363
25,cpu_millicores_roll_5m_max,0.0006632260598273673
26,cpu_millicores_roll_30m_std,0.000633243674356894
27,cpu_millicores_roll_15m_mean,0.0004953731758381227
28,memory_mib_roll_30m_min,0.0002140496132986746
29,cpu_millicores_roll_15m_std,0.00017911277986371857
30,cpu_millicores_roll_5m_std,0.0
31,cpu_millicores_roll_5m_mean,0.0
32,ready_numeric,0.0
33,cpu_millicores,0.0
34,cpu_millicores_roll_5m_min,0.0
35,cpu_millicores_roll_5m_delta,0.0
36,cpu_millicores_roll_5m_range,0.0
37,cpu_millicores_roll_30m_delta,0.0
38,cpu_millicores_roll_30m_min,0.0
39,cpu_millicores_roll_15m_range,0.0
40,cpu_millicores_roll_15m_min,0.0
41,cpu_millicores_roll_15m_delta,0.0
42,cpu_change_1m,0.0
